Image1,Image2,Image3,Image4,AudioFile,TargetLocation,Label,Group,AdjTime,NounTime,NPTime,AudioDur
tallhaystack.png,shorthaystack.png,chalk.png,battery.png,battery.mp3,4,contrast filler,A,,931,931,1533
surfboard.png,laptop.png,fatcomb.png,skinnycomb.png,surfboard.mp3,1,contrast filler,A,,874,874,1808
pacifier.png,handcuffs.png,smalldiamond.png,bigdiamond.png,handcuffs.mp3,2,contrast filler,A,,962,962,1894
longstraw.png,shortstraw.png,chocolatebar.png,mouse.png,chocolatebar.mp3,3,contrast filler,A,,995,995,1882
smallbubble.png,bigbubble.png,coconut.png,treasurechest.png,treasurechest.mp3,4,contrast filler,A,,939,939,1981
owl.png,sandcastle.png,skinnybacon.png,fatbacon.png,owl.mp3,1,contrast filler,A,,1054,1054,1568
net.png,blowdryer.png,thickspoon.png,thinspoon.png,blowdryer.mp3,2,contrast filler,A,,1046,1046,1783
fatpickle.png,skinnypickle.png,goggles.png,hook.png,goggles.mp3,3,contrast filler,A,,955,955,1755
bigchili.png,smallchili.png,shark.png,printer.png,printer.mp3,4,contrast filler,A,,936,936,1506
yogurt.png,buffalo.png,skinnymirror.png,fatmirror.png,yogurt.mp3,1,contrast filler,A,,884,884,1603
snowglobe.png,icecream.png,bigfrog.png,smallfrog.png,icecream.mp3,2,contrast filler,A,,988,988,1643
fatrug.png,skinnyrug.png,violin.png,safe.png,violin.mp3,3,contrast filler,A,,880,880,1614
bighand.png,smallhand.png,cookie.png,flyswatter.png,flyswatter.mp3,4,contrast filler,A,,892,892,1856
spaghetti.png,rainbow.png,fatstocking.png,skinnystocking.png,spaghetti.mp3,1,contrast filler,A,,881,881,1541
charger.png,dragon.png,bigcake.png,smallcake.png,dragon.mp3,2,contrast filler,A,,964,964,1609
widebush.png,narrowbush.png,rooster.png,popsicle.png,rooster.mp3,3,contrast filler,A,,869,869,1485
smallsuitcase.png,bigsuitcase.png,pinecone.png,kite.png,kite.mp3,4,contrast filler,A,,1045,1045,1586
rattle.png,tongs.png,thinsausage.png,thicksausage.png,rattle.mp3,1,contrast filler,A,,985,985,1551
slippers.png,mop.png,smallthermometer.png,bigthermometer.png,mop.mp3,2,contrast filler,A,,916,916,1561
narrownose.png,widenose.png,lighter.png,pillow.png,lighter.mp3,3,contrast filler,A,,931,931,1496
thinrollingpin.png,thickrollingpin.png,chips.png,feather.png,feather.mp3,4,contrast filler,A,,883,883,1456
acorn.png,remote.png,thicktire.png,thintire.png,acorn.mp3,1,contrast filler,A,,995,995,1700
cuttingboard.png,toilet.png,smalllion.png,biglion.png,toilet.mp3,2,contrast filler,A,,937,937,1571
thinbone.png,thickbone.png,gun.png,pinata.png,gun.mp3,3,contrast filler,A,,978,978,1418
thickeyebrows.png,thineyebrows.png,train.png,magnifyingglass.png,magnifyingglass.mp3,4,contrast filler,A,,890,890,2385
steeringwheel.png,microscope.png,dragonfly.png,golfclub.png,steeringwheel.mp3,1,filler,A,,994,994,1937
piano.png,pen.png,lobster.png,bus.png,pen.mp3,2,filler,A,,850,850,1314
ant.png,purse.png,sailboat.png,stroller.png,sailboat.mp3,3,filler,A,,864,864,1721
mailbox.png,eggplant.png,drum.png,elephant.png,elephant.mp3,4,filler,A,,1050,1050,1749
heart.png,carseat.png,chick.png,shoppingcart.png,heart.mp3,1,filler,A,,877,877,1537
accordion.png,cherry.png,basketball.png,sock.png,cherry.mp3,2,filler,A,,1028,1028,1593
pencilsharpener.png,gears.png,harp.png,policeman.png,harp.mp3,3,filler,A,,1004,1004,1690
football.png,mushroom.png,helicopter.png,seahorse.png,seahorse.mp3,4,filler,A,,970,970,1876
helmet.png,penguin.png,grenade.png,hotdog.png,helmet.mp3,1,filler,A,,875,875,1505
grapefruit.png,bell.png,wine.png,ghost.png,bell.mp3,2,filler,A,,1002,1002,1455
motorcycle.png,folder.png,glove.png,pineapple.png,glove.mp3,3,filler,A,,1107,1107,1741
jumprope.png,leaf.png,map.png,carrot.png,carrot.mp3,4,filler,A,,895,895,1509
lipstick.png,unicorn.png,soccerball.png,plane.png,lipstick.mp3,1,filler,A,,888,888,1755
firefighter.png,lollipop.png,sushi.png,ticket.png,lollipop.mp3,2,filler,A,,921,921,1853
box.png,knight.png,popcorn.png,skirt.png,popcorn.mp3,3,filler,A,,955,955,1706
bow.png,pumpkin.png,baseball.png,turtle.png,turtle.mp3,4,filler,A,,1070,1070,1559
egg.png,saw.png,pie.png,moose.png,egg.mp3,1,filler,A,,883,883,1407
grasshopper.png,axe.png,medal.png,log.png,axe.mp3,2,filler,A,,1015,1015,1779
horseshoe.png,lemon.png,penny.png,firetruck.png,penny.mp3,3,filler,A,,1084,1084,1547
couch.png,necklace.png,cactus.png,planet.png,planet.mp3,4,filler,A,,1047,1047,1736
sandwich.png,mattress.png,thread.png,plate.png,sandwich.mp3,1,filler,A,,946,946,2108
cow.png,skull.png,doorknob.png,butter.png,skull.mp3,2,filler,A,,850,850,1534
moon.png,apron.png,castle.png,spatula.png,castle.mp3,3,filler,A,,974,974,1680
baby.png,sweater.png,ambulance.png,magnet.png,magnet.mp3,4,filler,A,,884,884,1794
dolphin.png,watch.png,alligator.png,ballerina.png,dolphin.mp3,1,filler,A,,1016,1016,1771
soup.png,glue.png,cage.png,vacuum.png,glue.mp3,2,filler,A,,1048,1048,1573
icecubetray.png,boot.png,scarf.png,dinosaur.png,scarf.mp3,3,filler,A,,912,912,1632
horn.png,lungs.png,panther.png,peanut.png,peanut.mp3,4,filler,A,,1023,1023,1742
gorilla.png,ladle.png,crutches.png,peach.png,gorilla.mp3,1,filler,A,,973,973,1535
ostrich.png,fridge.png,top.png,stickynote.png,fridge.mp3,2,filler,A,,958,958,1692
basket.png,martini.png,nailpolish.png,button.png,button.mp3,3,filler,A,,1072,1072,1598
basket.png,martini.png,nailpolish.png,butterfly.png,butterfly.mp3,4,filler,A,,1064,1064,1772
wreath.png,monkey.png,salt.png,bridge.png,wreath.mp3,1,filler,A,,1004,1004,1611
thimble.png,robot.png,steak.png,nailclipper.png,robot.mp3,2,filler,A,,1112,1112,1890
pliers.png,oreo.png,envelope.png,fries.png,envelope.mp3,3,filler,A,,1012,1012,1808
foot.png,zipper.png,racket.png,paperclip.png,paperclip.mp3,4,filler,A,,1014,1014,1952
parachute.png,streetlight.png,thumb.png,marker.png,parachute.mp3,1,filler,A,,1036,1036,2022
swimsuit.png,tiger.png,trampoline.png,cleaver.png,tiger.mp3,2,filler,A,,1038,1038,1679
slingshot.png,chopsticks.png,lizard.png,leg.png,lizard.mp3,3,filler,A,,934,934,1478
birdhouse.png,worm.png,swing.png,drill.png,drill.mp3,4,filler,A,,920,920,1348
